COUNT,SAB / CR,MFA,MAT,SALT,MAE,Course caps,Enrollment,wait listed,,Dept,Course,section,Spring 2027,Professor First name,Professor Last name,JZ,TERM,DAY,TIME,ROOM,NOTE / DATE,Drop Down,DEAN NOTES,LAB FEE
0,,,,,,0,,,,FN,FN 110,0,4D: Space & Temporality, , ,,BFA SPRING,,,,,Course is cut,,
0,,,,,,0,,,,AS,NS 305,,(S) Botany,Elizabeth,Webb,,BFA SPRING,,,,,Course is cut,,
0,0,0,0,0,0,0,,,,PH,PH 101,1,Introduction to Photography,Justin,Kirchoff,,BFA SPRING,,,,,Course is cut,,
0,0,0,0,0,0,0,,,,PH,PH 310,,Alternative Processes,Justin,KIrchoff,,BFA SPRING,W,12-5:30,,,Course is cut,"02/11 JK cancelled, to bring PH 314 to spring term",
0,,,,,,0,,,,PT,PT 223,,Forms and Transformation,Honour,Mack,,BFA SPRING,,,,,,,
0,,,,,,12,,,,WF,WF 235,,CURViture,John,Gardiner,,BFA SPRING,,,,,Course is cut,02/12 MH Moved to fall ,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Research & Inquiry (THEMED) ,,revised schedule,,,,,[studio best in classroom 502],,,"holding pattern, repeat themes and teams where possible",,,
,,,,,,,,,,FN,FN 108,1,(S) Research & Inquiry-Voyages (Studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,1,(S) Research & Inquiry-Voyages (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,2,Research & Inquiry-The Language Wars (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,2,Research & Inquiry-The Language Wars  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,3,(PE) R&I-Enclaves and Activism: Communities of Resistance and Resilience-US. (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,3,(PE)Research & Inquiry- Enclaves and Activism: Communities of Resistance and Resilience-US.(Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,4,(S) Research & Inquiry-Voyages (sudio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,4,(S) Research & Inquiry-Voyages  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,5,Research & Inquiry-Dystopian Landscapes (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,5,Research & Inquiry-Dystopian Landscapes  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,6,Research & Inquiry-Dystopian Landscapes (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,6,Research & Inquiry-Dystopian Landscapes  (Academic), ,,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,FN,FN 108,7,(M) Research & Inquiry-Music (studio),hold, ,,BFA SPRING,,,,revised schedule,,,
,,,,,,,,,,AS,SEM 108,7,(M) Research & Inquiry- Music (Academic), , ,,BFA SPRING,,,,revised schedule,,,
x,,,,,,0,,,,0,,,,,,,,,,,,,,
